и	and
пода́рок	gift
прекра́сно	fine, perfectly, well
предыду́щий	previous
ра́нний	early
расчѐт	calculation
за́пах	odour, aroma
е́здить	ride, travel
пожа́луй	I think, probably
преступле́ние	crime
теря́ть	lose
обраще́ние	appeal, appointment
бе́дный	poor
ка́мера	camera, cell
внутри́	inside
рад	happy, glad
столи́ца	capital
меня́ть	change
торго́вля	trade
больни́ца	hospital
та́йна	mystery, secret
эпо́ха	epoch, era
запреща́ть	prohibit
почему́-то	for some reason, somehow
литерату́рный	literary
выполне́ние	accomplishment, doing
вы́ставка	exhibition
научи́ться	learn
вы́пуск	edition, production
протя́гивать	give, stretch
уваже́ние	respect
заду́мываться	think deeply
вноси́ть	bring in
бу́ква	letter
после́дствие	consequence
поня́тно	clear(ly)
тво́рческий	creative
изображе́ние	image, picture
материа́льный	material
уче́бный	learning, training
заключе́ние	setting up, conclusion, imprisonment
признава́ться	confess
похо́же	it seems that, it looks like
желе́зный	iron
дета́ль	detail, part
се́рый	grey
авто́бус	bus
воспомина́ние	remembrance, memory
челове́чество	humanity, mankind
ко́рпус	block, building, body, corps, corpus (linguistics)
вкус	taste, flavour
заседа́ние	meeting
спустя́	later, after
миллиа́рд	billion
недоста́ток	disadvantage, shortage
держа́ться	hold, keep
зара́нее	beforehand, earlier
перспекти́ва	perspective
отделе́ние	department, separation
ссы́лка	reference, exile
конфере́нция	conference
дари́ть	present
спуска́ться	descend
спасти́	rescue, save
разреше́ние	permission, resolution
тяжело́	hard, heavily
мо́щный	powerful
обе́д	lunch
угро́за	threat
изуче́ние	study, research
производи́ть	produce
про́сьба	request, ask
эффекти́вный	effective
набира́ть	gain, recruit, dial, fill
вход	entrance, log-in
ни́жний	lower, bottom
отря́д	group, squad
ска́жем	let us say, say
ю́жный	southern
телеви́зор	television
во́дка	vodka
вес	weight
дед	grandfather
пропада́ть	disappear, be lost
вздыха́ть	sigh
следи́ть	watch
со́рок	forty
повыше́ние	rise, promotion
захва́тывать	grip, capture, take
кры́ша	roof, head (slang)
звоно́к	bell, ring
продолжа́ться	continue
печа́ть	stamp, print, printing
ра́дио	radio
конта́кт	contact
и́стинный	true, real
неуже́ли	really
да́ма	lady
мя́гкий	soft
газ	gas
тво́рчество	creation, work
худо́жественный	artistic, literary
гото́вить	prepare, make
избега́ть	avoid
посеща́ть	visit, attend
четвѐртый	fourth
пове́рхность	surface
брак	marriage, defect
забира́ть	pick up
ве́чный	eternal
пуска́ть	let
ах	oh
мероприя́тие	event, measure
до́ступ	access
устано́вка	setting, installation
случа́йно	by chance
мужско́й	male, men's
сво́йство	feature
бесе́да	conversation
стекло́	glass
боро́ться	struggle
ресу́рс	resource
горе́ть	burn, be on
ли́шний	superfluous, unnecessary
свя́занный	connected to, tied
зада́ние	task, assignment
рефо́рма	reform
све́жий	fresh
обя́занность	duty
оте́чественный	domestic, patriotic
выде́рживать	endure, withstand
повторя́ть	repeat
разделя́ть	divide, share
биле́т	ticket
соединя́ть	connect, join
расхо́д	expense
обору́дование	equipment
уважа́емый	respected
заключа́ть	conclude
владе́лец	owner
увели́чивать	increase
должно́	must
неме́дленно	immediately
семе́йный	family
дя́дя	uncle
крик	scream
обходи́ться	manage, come to
че́стно	honestly
сигна́л	signal
формирова́ние	formation, development
трава́	grass
исходи́ть	proceed, emanate
учрежде́ние	institution
лече́ние	treatment
Кита́й	China
показа́тель	indicator, figure
за́мок	castle (the first syllable stressed), lock
я́щик	box, drawer
возде́йствие	effect
обсужде́ние	discussion
прика́зывать	order
све́тлый	light
стул	chair, stool (faeces)
слегка́	slightly
убежда́ть	convince
ми́мо	past, miss
устава́ть	get tired
ска́зка	tale
добира́ться	reach, get to
обстано́вка	situation
осно́вываться	base
расстоя́ние	distance
отпуска́ть	let out
подчѐркивать	underline, emphasize
шум	noise
беда́	misfortune, tragedy
споко́йный	calm
упомина́ть	mention
весѐлый	cheerful
диск	disc
побежда́ть	win
удо́бный	comfortable, convenient
ше́я	neck
тако́в	such, that
меня́ться	change
подгота́вливать	prepare
ра́нее	earlier, previously
америка́нец	American
шанс	chance
развива́ться	develop
сохраня́ться	be preserved
извиня́ть	forgive, excuse
ко́фе	coffee
не́чего	nothing
кни́жка	book
действи́тельность	reality
чте́ние	reading
гото́виться	prepare, train
ло́дка	boat
су́тки	day and night
доставля́ть	deliver, cause
давле́ние	pressure
мол	he says, she says, etc., apparently
буква́льный	literal
учи́тывать	consider
уби́йство	murder
ле́стница	stairs
потреби́тель	consumer
вне	beyond, outside
религио́зный	religious
впереди́	ahead, in front
кусо́к	piece
страте́гия	strategy
набо́р	set, recruitment
ци́фра	figure
досто́инство	dignity, advantage
се́рия	episode, series, number
осозна́вать	realize
ве́рхний	top, upper
кадр	frame
основно́е	the main thing, the most important thing
посте́ль	bed
выноси́ть	carry out, bear
справля́ться	cope
штаб	headquarters
рожа́ть	give birth
предусма́тривать	foresee
малы́ш	baby, child
привози́ть	bring
внима́тельный	attentive
мили́ция	police
процеду́ра	procedure, treatment
ожида́ние	expectation, waiting
изуча́ть	learn, study
госпо́дь	the Lord
филосо́фия	philosophy
подпи́сывать	sign
еда́	food
смех	laughter
многочи́сленный	numerous
гро́мко	loud(ly)
наруша́ть	violate
жи́зненный	vital, life, practical
у́зкий	narrow
це́нный	valuable
води́тель	driver
игро́к	player
блок	block, unit
страда́ть	suffer
мост	bridge
о́стрый	sharp, severe, spicy
пое́здка	trip
ра́зум	intelligence
конце́пция	concept
чино́вник	official
отту́да	from there
субъе́кт	subject
тишина́	silence
далѐкий	distant
направля́ться	go, come
слух	hearing, rumour
сра́внивать	compare
покупа́тель	shopper
удиви́тельный	amazing
отходи́ть	depart, move away
выступле́ние	performance, speech
увеличе́ние	increase, rise
мѐртвый	dead
зарпла́та	salary
заменя́ть	replace
до́лжность	position
о́сень	autumn
ро́дственник	relative
паке́т	package, plastic bag
зри́тель	spectator
стра́нно	strangely
мечта́ть	dream
рестора́н	restaurant
пла́та	fee, charge
судья́	judge, referee
ра́ньше	earlier, used to
убира́ть	clear
внеза́пный	sudden
охра́на	protection, security
публика́ция	publication, journal article
кра́йне	extremely, very
дога́дываться	guess
обсужда́ть	discuss
надева́ть	put on
луна́	moon
ло́гика	logic
специа́́льно	specially
компью́терный	computer
проводи́ться	be conducted
предупрежда́ть	warn
раздава́ться	sound, be heard, be distributed
зе́ркало	mirror
су́щность	essence, gist, nature
си́ний	blue
сле́дствие	consequence, investigation
обра́тный	reverse, return
ладо́нь	palm, hand
выи́грывать	win
строка́	line
больно́й	sick, painful, patient
законода́тельство	legislation
опуска́ть	lower, omit, sodomize
да́льний	far
чи́сто	cleanly, purely
мечта́	dream
загля́дывать	peep
пита́ние	food, power
файл	file
интересова́ть	interest
флот	fleet, navy
рели́гия	religion
бо́жий	God's
догова́риваться	agree
характе́рный	characteristic
ко́шка	cat
обща́ться	communicate
ва́жно	important
ужа́сный	terrible
висе́ть	hang
то́лстый	thick, fat, plump
отли́чный	excellent
зака́з	order
тон	tone
оборо́на	defence
прове́рка	examination
реда́ктор	editor, processor
когда́-то	once
крыло́	wing
ду́ма	thought, Duma
вдоль	along
запа́с	stock
сосе́дний	neighbouring
жѐсткий	hard, firm
исполне́ние	performance, execution, carrying out
замести́тель	deputy
полко́вник	colonel
выясня́ть	find out, establish
спеши́ть	rush
пя́тый	fifth
коне́чный	final
кри́зис	crisis
при́быль	profit
спор	dispute
кру́глый	round
о́зеро	lake
де́латься	be made, happen, become
ди́кий	wild
по-пре́жнему	still
наноси́ть	apply
дно	bottom
те́рмин	term
како́в	which, what
воро́та	gate
пла́вать	swim, sail
мла́дший	younger, junior
поража́ть	strike, hit, cause
приня́тие	acceptance
убежда́ться	be convinced, be assured
экспе́рт	expert
совме́стный	joint
лиша́ть	deprive
характери́стика	specification, letter of reference
конце́рт	concert
дыха́ние	breath
темнота́	darkness
региона́льный	regional
экспериме́нт	experiment
аге́нтство	agency
объединя́ть	unite
пи́ща	food
кре́пкий	strong
се́вер	north
интервью́	interview
спосо́бствовать	facilitate, encourage, aid
поку́пка	shopping, purchase
сходи́ть	come down, go
воспита́ние	upbringing, education
покрыва́ть	cover
Христо́с	Christ
генера́льный	general
сюже́т	plot
перегово́ры	talks
пого́да	weather
ограниче́ние	restriction
тенде́нция	tendency
досто́йный	worthy, decent
прису́тствие	presence
кита́йский	Chinese
выска́зывать	express, voice
производи́тель	producer, manufacturer
шу́тка	joke
голубо́й	light blue, gay (slang)
регистра́ция	registration, check-in
лѐтчик	pilot
молодѐжь	youth
докла́д	report
везде́	everywhere
оконча́ние	ending, termination, expiration
си́мвол	symbol, character
перевести́	translate, transfer, put
нужда́ться	be in need
кандида́т	candidate
ата́ка	attack
кле́тка	cage, cell
переноси́ть	bear, move, tolerate, undergo
сексуа́льный	sexual, sexy
включа́я	including
музыка́льный	music, musical
слой	layer
назначе́ние	appointment, purpose, order
поми́мо	besides
винова́тый	guilty
индивидуа́льный	individual
сме́на	shift
положи́тельный	positive
парк	park
ви́дный	visible, prominent
тюрьма́	prison
наблюде́ние	observation
сле́довательно	hence, consequently
психологи́ческий	psychological, mental
ми́нимум	minimum
полтора́	one and a half
мя́со	meat
боле́ть	hurt, be ill, support
глу́пый	silly
соглаше́ние	agreement
за́дний	back
преиму́щество	advantage
досту́пный	accessible, affordable
осторо́жно	carefully
ку́ча	pile
поко́й	peace
бок	side
незави́симый	independent
дава́й	let us
насчѐт	about, regarding
со́лнечный	solar, sunny
тру́дность	difficulty
объясне́ние	explanation
факти́чески	practically
уверя́ть	assure
дура́к	fool
сотру́дничество	cooperation
повора́чивать	turn
фон	background
конь	horse
путеше́ствие	travel
площа́дка	area, site
че́стный	honest
обора́чиваться	turn to, turn out
класси́ческий	classic
взаимоде́йствие	interaction
импе́рия	empire
сомнева́ться	doubt
пропуска́ть	leave out, let pass, let through
правосла́вный	Orthodox
распространя́ть	spread
едини́ца	figure of one, unit
выта́скивать	pull out
исключа́ть	exclude
температу́ра	temperature
пла́тье	dress
ударя́ть	hit, strike
практи́ческий	practical
зло	harm, evil
о́тдых	holiday, rest
труба́	pipe, chimney
возража́ть	object
воспо́льзоваться	use, take advantage
предстоя́ть	be in store, be ahead
злой	angry
станда́рт	standard
отчѐт	report
представля́ться	introduce, arise
цивилиза́ция	civilization
пацие́нт	patient
ста́тус	status
ма́сло	oil, butter
прекраща́ть	stop
ста́вка	rate
вина́	fault, guilt
юриди́ческий	legal, law
ре́дкий	rare
молоко́	milk
страсть	passion
костю́м	suit, costume
грех	sin
дворе́ц	palace
стака́н	glass
кот	cat (male)
часы́	clock, watch
неизве́стный	unknown
лоб	forehead
промы́шленность	industry
спорт	sport
о́трасль	branch
юг	south
взры́в	explosion
обме́н	exchange
демокра́тия	democracy
жаль	pity, sad
широко́	widely
заслу́живать	deserve
сухо́й	dry
суще́ственный	significant
стремле́ние	aspiration, urge
стреля́ть	shoot, fire
отка́з	refusal
забо́та	care, concern
нож	knife
осо́бо	particularly
мо́лча	silently
отража́ть	reflect, fend off
несча́стный	unfortunate
де́нежный	money
безусло́вно	certainly
дово́льный	satisfied
ваго́н	carriage
популя́рный	popular
мы́шле́ние	thinking
поли́ция	police
после́дующий	subsequent
разруша́ть	destroy
лечь	lie down
раскрыва́ть	uncover
рассчи́тывать	rely, count, calculate
о́круг	constituency, district
очеви́дный	evident, obvious
пятьдеся́т	fifty
вещество́	substance
продолже́ние	continuation
управля́ть	manage, operate
бла́го	good, amenity
нефть	oil
акаде́мия	academy
сантиме́тр	centimeter, centimetre
живо́т	stomach
карти́нка	picture
шту́ка	thing, item
земно́й	earth('s), terrestrial
жѐлтый	yellow
сло́жно	complex
суде́бный	judicial
возвраще́ние	return
деревя́нный	wooden
образе́ц	sample
шко́льный	school
из-под	from under
ока́зывать	provide
профе́ссия	profession
затра́ты	expenses
навсегда́	forever
гости́ница	hotel
заболева́ние	disease
кампа́ния	campaign
село́	village
косми́ческий	space
повезти́	take, be lucky
по́чта	post office, post
выясня́ться	be established, come to light
па́уза	pause
пала́та	ward, chamber
засыпа́ть	fall sleep, cover
креди́т	credit
суббо́та	Saturday
заплати́ть	pay
полово́й	sexual, genital, floor
уве́ренность	confidence
слу́шатель	listener
лев	lion
пря́тать	hide
реализо́вывать	realize, implement, sell
освобожда́ть	free, set free
коллекти́в	group, team
све́рху	above, on top
добро́	good
тро́е	three (people)
уче́ние	teaching
воскресе́нье	Sunday
доказа́тельство	proof, evidence
гря́зный	dirty
спрос	demand
делово́й	business
разли́чие	difference
ко́рень	root
телефо́нный	telephone
пя́тница	Friday
дожида́ться	wait
продаве́ц	retailer, shop assistant
превраща́ть	turn into, convert
комме́рческий	commercial, trade
проявля́ться	appear, be manifested
удивля́ть	surprise
величина́	value, size, amount
напряже́ние	voltage, strain
крестья́нин	farm worker
обяза́тельный	compulsory
преподава́тель	teacher
найти́сь	be found
кольцо́	ring, circle
пойма́ть	catch
наверняка́	surely
подожда́ть	wait
доска́	board
япо́нский	Japanese
се́льский	rural, agricultural
верши́на	peak
напро́тив	opposite, on the contrary
защища́ть	protect
предпочита́ть	prefer
секре́т	secret
зака́зывать	order
воспринима́ть	perceive, accept
эффекти́вность	effectiveness
иму́щество	property
строй	system, formation
ру́чка	pen, handle
ре́зкий	sharp
персона́ж	character
одина́ковый	same
свиде́тельствовать	indicate, show, give evidence
ве́рно	correct(ly), accurate(ly)
кури́ть	smoke
утвержде́ние	approval, assertion
взя́ться	set to, take, come about, arise
понеде́льник	Monday
стро́гий	strict
исключи́тельно	exceptionally, exclusively, only
портре́т	portrait
дыша́ть	breathe
поро́г	threshold, doorstep
противополо́жный	opposite
я́дерный	nuclear
объедине́ние	association, joining
остально́е	rest
оконча́тельно	finally
се́ктор	sector
гуля́ть	walk
приложе́ние	supplement, attachment, application
подро́бность	detail
окружа́ющий	surrounding
попада́ться	occur, come about, get caught
луч	ray
привы́чка	habit
пре́сса	press
эмо́ция	emotion
уника́льный	unique
испыта́ние	test
разбива́ть	break
восприя́тие	perception
де́вять	nine
лейтена́нт	lieutenant
наступле́ние	onset, coming, offensive, attack
актѐр	actor
тра́нспорт	transport
издава́ть	publish
рекла́мный	advertising
хвост	tail
возду́шный	air
серьѐзно	seriously
заводи́ть	start, keep, have (animals)
свиде́тель	witness
килогра́мм	kilogram
ощуща́ть	feel, sense
тяну́ть	pull
уголо́вный	criminal
удивле́ние	surprise
экза́мен	exam
прия́тно	nice
ка́менный	stone
одева́ть	dress
цикл	cycle
евре́йский	Jewish
ме́неджер	manager
су́мка	bag
на́дпись	inscription
восклица́ть	exclaim
зо́лото	gold
сигаре́та	cigarette
успе́шный	successful
нема́ло	many
приро́дный	natural
цита́та	quotation, citation
полоса́	stripe, lane
о́блако	cloud
взро́слый	adult
ре́йтинг	rating
похо́д	hike
таково́й	such
указа́ние	instruction, indication
веду́щий	leading
како́й-нибудь	any, some
разу́мный	sensible, reasonable
том	volume
владе́ть	own, master
посту́пок	deed
па́мятник	monument
атмосфе́ра	atmosphere
спо́рить	dispute
охва́тывать	cover, affect
применя́ть	apply, use
случа́йный	random, chance
восстана́вливать	restore, replace
определя́ться	be determined
о́фис	office
проявле́ние	show, manifestation
на́ция	nation
телеви́дение	television
вслед	then, after this
осуществля́ть	implement, carry out
инвести́ция	investment
относи́ть	carry away
акти́вно	active(ly)
инжене́р	engineer
знако́мство	acquaintance
дневни́к	diary, record book
успе́шно	successfully
уде́рживать	hold back
запомина́ть	remember
теку́щий	current
повыша́ть	raise, increase
Петербу́рг	St Petersburg
неприя́тный	unpleasant
стро́го	strict(ly)
влия́ть	influence, affect
аспе́кт	aspect
бе́гать	run
оста́ток	rest, remains
кно́пка	button
сде́лка	deal
спорти́вный	sport, sporting
режиссѐр	director
програ́ммный	software
океа́н	ocean
правово́й	legal
оте́ль	hotel
вынужда́ть	force
нало́говый	tax
ба́ба	woman
скрыва́ть	hide
распростране́ние	dissemination, spreading, distribution
секрета́рь	secretary
мгнове́ние	moment
посети́тель	visitor
архи́в	archive
сохране́ние	conservation, preservation
отсу́тствовать	be absent
пья́ный	drunk
вкла́дывать	invest, put in
конча́ть	finish
бо́льно	painfully
импера́тор	emperor
вселе́нная	universe
СМИ	mass media
губерна́тор	governor
заполня́ть	fill
уме́ние	skill
твѐрдый	hard, firm
ста́дия	stage
инициати́ва	initiative
призна́ние	recognition, confession
масшта́б	scale
ремо́нт	repair, renovation
вон	there
терпе́ть	endure, tolerate
пятна́дцать	fifteen
намно́го	much
ле́тний	summer
дым	smoke
та́нец	dance, dancing
распоряже́ние	order, instruction
ра́доваться	be glad, rejoice
ле́кция	lecture
опла́та	payment
вероя́тность	probability
щека́	cheek
пара́метр	parameter
аге́нт	agent
интеллектуа́льный	intelligent
согла́сие	consent
рубе́ж	border, mark
коро́бка	box
крите́рий	criterion
скла́дывать	fold, stack, sum up, put (together)
ма́рка	stamp, brand
происхожде́ние	origin
смешно́й	funny
абсолю́тный	absolute, complete
прия́тель	friend
уго́дно	you like, you want
пу́блика	crowd, public
вуз	institution of higher education
рекомендова́ть	recommend
моли́тва	prayer
опуска́ться	lower
бесконе́чный	endless, very long
се́рвер	server
метро́	Metro, underground
нажима́ть	press, click
подбира́ть	pick up, match together
эфи́р	air, ether
табли́ца	table
ю́ный	young
ненави́деть	hate
сопротивле́ние	resistance
ой	oh, ouch
удовлетворя́ть	satisfy
длина́	length
кри́тика	criticism
уда́ча	luck
дру́жба	friendship
наме́рение	intention
преодолева́ть	overcome, go beyond
крест	cross
сниже́ние	reduction, descent
сбор	collection, fee
неожи́данный	unexpected
протяже́ние	course, extent
выража́ться	be expressed, be
у́жин	dinner
колесо́	wheel
отли́чно	excellent(ly), very well
дви́гатель	engine
отводи́ть	bring, take
переме́на	change, break
тала́нт	talent
дли́тельный	long
приве́т	hi, regards
плани́ровать	plan
предпринима́ть	undertake, take
подска́зывать	prompt, tell
диску́ссия	discussion
го́лый	naked
доводи́ть	lead to, take to
свяще́нник	priest
ми́рный	peace, peaceful
поворо́т	turn, bend
пережива́ть	experience, worry
труп	corpse, (dead) body
сочине́ние	composition, essay
упражне́ние	exercise
наказа́ние	punishment
автома́т	machine, machine gun, payphone
зверь	beast, animal
ю́ноша	youth, young boy
стратеги́ческий	strategic
мора́льный	moral
чрезвыча́йно	extremely
приближа́ться	approach
ны́не	now, at present
моби́льный	mobile
семина́р	seminar
образо́вывать	form, educate, teach
осуществля́ться	be implemented
загова́ривать	start speaking, cast a spell
трудово́й	labour
дива́н	sofa
непоня́тный	incomprehensible
нарко́тик	drug
меч	sword
сло́жность	complexity, complication
мешо́к	bag
шепта́ть	whisper
со́весть	conscience
наве́рно	probably
куда́-то	somewhere
областно́й	regional
пре́мия	prize
пассажи́р	passenger
поэ́зия	poetry
доста́точный	sufficient
обрабо́тка	processing, treatment
психоло́гия	psychology
жильѐ	accommodation
код	code
обма́нывать	deceive, cheat
увы́	alas
успока́иваться	calm down
ры́ночный	market
помо́щник	assistant
корми́ть	feed
контроли́ровать	control, monitor
Ита́лия	Italy
экипа́ж	crew
сцена́рий	scenario, film script
сбива́ть	knock down
лѐд	ice
проника́ть	penetrate, infiltrate
предпринима́тель	entrepreneur
ассоциа́ция	association
спекта́кль	performance, play
кра́ска	paint
поздравля́ть	congratulate
раке́та	rocket
выставля́ть	show, put forward
постановле́ние	decree, act
пожима́ть	press, shake (hands)
жени́ться	marry
зря	in vain
свиде́тельство	certificate
потоло́к	ceiling
аудито́рия	lecture theatre, audience
песо́к	sand
излага́ть	report, give an account
грязь	dirt
тща́тельно	meticulously
регистри́ровать	register
а́нгел	angel
монасты́рь	monastery, cloister
огля́дываться	look back, look round
привы́чный	habitual, usual, used
анекдо́т	anecdote, joke
выезжа́ть	leave
маршру́т	route
о́тпуск	holiday
необы́чный	unusual
соо́бщество	community
обходи́ть	bypass, walk around
проче́сть	read
пыль	dust
предназна́ченный	design, designate, intend
демократи́ческий	democratic
заде́рживать	delay, hold up
идеа́льный	ideal
чѐткий	precise
паде́ние	fall
беспла́тный	free
расте́ние	plant
обнима́ть	hug
аргуме́нт	argument
введе́ние	introduction
никуда́	nowhere, anywhere
бое́ц	fighter
ткань	cloth
уступа́ть	give up
заверша́ть	complete
нужда́	need
го́рло	throat
до́чка	daughter
убега́ть	run
кость	bone
сто́лик	table
научи́ть	teach
не́жный	tender
яйцо́	egg
склад	warehouse
темп	tempo, pace
наполня́ть	fill
обознача́ть	stand for, mean
запуска́ть	neglect, let
брита́нский	British
запро́с	request
адвока́т	lawyer
существу́ющий	existing, current
форма́т	format
съесть	eat up
о́пытный	experienced
пистоле́т	pistol
промы́шленный	industrial
подро́сток	teenager
бо́мба	bomb
тра́тить	spend
ухо́д	leaving, care
навстре́чу	towards
заведе́ние	place, establishment
социа́льно	socially
ба́шня	tower
го́ре	grief, misfortune
хозя́йка	hostess, owner
на́вык	skill
бога́тство	wealth
верхо́вный	supreme, high
пона́добиться	need
уважа́ть	respect
пораже́ние	defeat, impairment, lesion
подразделе́ние	unit
моти́в	motive, tune
подводи́ть	bring closer, let down
туале́т	toilet, lavatory
ба́нка	jar
остано́вка	stop
трево́га	anxiety
оборо́т	turnover, turn, circulation
жесто́кий	cruel
дрожа́ть	tremble
кре́пко	firmly
порт	port
су́дно	ship, vessel, chamber pot
до́рого	expensive
самостоя́тельно	independent(ly), by oneself
плод	fruit
бли́зко	near, close
администрати́вный	administrative
впосле́дствии	subsequently
борт	side, board
па́хнуть	smell
соедине́ние	connection
контра́кт	contract
сва́дьба	wedding
дове́рие	trust
диало́г	dialogue
тума́н	fog
восто́рг	delight
слы́шаться	be heard
прибо́р	device
то́чность	precision
внизу́	below
приступа́ть	set to, proceed
девчо́нка	young girl
та́йный	secret
персона́л	staff
ка́чественный	quality
молча́ние	silence
мальчи́шка	small boy
маха́ть	wave
побежа́ть	run
очки́	glasses
осо́бенный	special
расстава́ться	part, separate
конститу́ция	constitution
развива́ть	develop
обрета́ть	find
ко́декс	code
опера́тор	operator
бере́менность	pregnancy
майо́р	major
избира́ть	elect
аналоги́чный	similar
иссле́дователь	researcher
францу́з	Frenchman
за́муж	marry
препара́т	drug
храни́ть	keep
игру́шка	toy
ве́село	merrily
повторя́ться	repeat
констру́кция	construction, design
самостоя́тельный	independent
сезо́н	season
фо́рмула	formula
надоеда́ть	bother
рассмотре́ние	review, inspection
посади́ть	plant, seat
прои́грывать	lose, play
всео́бщий	universal, all-out
наси́лие	violence
кула́к	fist
закла́дывать	put, turn in
жест	gesture
кто-нибу́дь	anybody, somebody
исхо́дный	initial, starting, original
англича́нин	Englishman
расходи́ться	disperse, leave
фи́зика	physics
ка́рточка	card
брига́да	brigade, team
обслу́живание	service
спасе́ние	saving, rescue
лаборато́рия	laboratory
дешѐвый	cheap
ка́пля	drop
прикрыва́ть	cover, shut, close (partly)
непосре́дственный	direct, spontaneous
па́спорт	passport
по́лка	shelf
ги́бель	death
подозрева́ть	suspect
вы́зов	call
дар	gift
протоко́л	protocol, report
акти́вность	activity
выбра́сывать	throw away, throw out
рекоменда́ция	advice, recommendation, reference
ро́вно	exactly, evenly
объявле́ние	advertisement, announcement
лека́рство	medicine
докла́дывать	report
достава́ться	get, received
посѐлок	village
го́рный	mountain
максима́льный	maximum
полчаса́	half an hour
успока́ивать	calm, pacify
отка́зывать	refuse
выска́зывание	statement, remark
карье́ра	career
отдыха́ть	rest
лови́ть	catch
замеча́ние	remark, comment
несомне́нно	undoubtedly
моро́з	frost
альбо́м	album
вокза́л	station
справедли́вость	justice
страда́ние	suffering
шар	ball
поли́тик	politician
вооружѐнный	armed
станда́ртный	standard
запи́ска	note
нере́дко	often
ко́ротко	short(ly)
одино́кий	lonely
да́ча	summer home, dacha
осуществле́ние	implementation
разбира́ть	dismantle, sort out, analyse, treat
бормота́ть	mumble
ко́смос	space
изде́лие	product
гара́нтия	guarantee, warranty
избавля́ться	get rid of
парти́йный	party
противоре́чие	contradiction
обяза́тельство	obligation
отню́дь	nowhere near, by no means
не́рвный	nervous
помеща́ть	put, place
моги́ла	grave
освеща́ть	illuminate
ору́дие	tool, instrument, gun, cannon
миг	instant, moment
подъе́зд	entrance
тест	test
воева́ть	fight
скро́мный	modest
украи́нский	Ukrainian
груз	load, cargo
заме́тный	noticeable
пятно́	spot, mark
коммуни́ст	communist
таска́ть	pull, drag, lug
ско́рый	quick, express
инстру́кция	instructions, manual
воображе́ние	imagination
двена́дцать	twelve
пу́ля	bullet
гру́бый	rude, coarse
веле́ть	order, tell
построе́ние	building, creating
охо́та	hunting
минима́льный	minimum, minimal
проявля́ть	show
глоба́льный	global
разнообра́зный	various
кафе́	café
по́чва	soil
надѐжный	reliable
де́йствующий	existing, active
интересова́ться	be interested in
би́тва	battle
факульте́т	faculty
мето́дика	methodology, method
стихотворе́ние	poem
окружа́ть	surround
сбо́рник	collection
разве́дка	reconnaissance, surveillance
куст	bush
хо́лод	cold
опра́вдывать	acquit, justify
сза́ди	behind, from behind
одино́чество	loneliness
фанта́зия	fantasy, imagination
сове́товать	advise
произво́дственный	production
плюс	plus, advantage
осма́тривать	inspect
ми́на	mine, bomb, look, expression
уще́рб	damage
отве́тственный	responsible
волк	wolf
поясня́ть	clarify, explain
незнако́мый	unfamiliar, strange
мо́крый	wet
важне́йший	most important
пала́тка	tent, stall
расшире́ние	expansion, spread
закрича́ть	shout, cry
отступа́ть	stand aside, step back, retreat
я́вный	evident
воспи́тывать	train, bring up
сало́н	salon
лезть	climb
великоле́пный	magnificent
тепло́	warmth
столе́тие	century, centenary
вы́стрел	shot
порожда́ть	produce
го́лод	hunger
костѐр	bonfire, camp fire
ключево́й	key
победи́тель	winner
доверя́ть	trust, confide in
шкаф	wardrobe, cupboard
траге́дия	tragedy
филосо́фский	philosophical
жанр	genre
зи́мний	winter
свяще́нный	sacred
уезжа́ть	leave
четве́рг	Thursday
незави́симо	regardless
жа́ловаться	complain
холм	hill
не́нависть	hatred
вече́рний	evening
фестива́ль	festival
ко́пия	copy
удовлетворе́ние	satisfaction
когда́-нибудь	some day, ever
у́зел	knot
частота́	frequency, rate
я́кобы	allegedly, supposedly
психо́лог	psychologist
финанси́рование	financing, funding
нигде́	nowhere, anywhere (double negatives)
напада́ть	attack
вред	harm, damage
жа́лко	pitifully, it's a pity
непло́хо	not bad, okay
идеоло́гия	ideology
кома́ндование	command
снижа́ть	reduce
возбужда́ть	arouse, excite
сжима́ть	grip
убежде́ние	conviction
вто́рник	Tuesday
зва́ние	rank, title
создава́ться	be created, arise, form
непреме́нно	without fail
жале́ть	regret
обвине́ние	accusation
христиа́нский	Christian
литр	liter, litre
превыша́ть	exceed
уче́бник	textbook
недоста́точный	insufficient, not enough
гото́вность	willingness
высоко́	high(ly)
ле́нта	tape, band
лесно́й	forest
исполня́ть	perform, do
спу́тник	satellite, fellow traveller
нагру́зка	load, activity
зарубе́жный	foreign
цепь	chain
почита́ть	read, respect, worship
ро́зовый	pink
идеа́л	ideal
благодари́ть	thank
эпизо́д	episode
сетево́й	network
визи́т	visit
о́рден	order
парла́мент	parliament
скала́	rock, cliff
собо́р	cathedral
коло́нна	column
конте́кст	context
танцева́ть	dance
соревнова́ние	competition
конкуре́нция	competition
глу́пость	foolishness, nonsense
городо́к	town
иску́сственный	artificial
эмоциона́льный	emotional
ро́за	rose
люби́тель	lover, amateur
распределе́ние	distribution
выпада́ть	fall, fall out
исправля́ть	correct
прили́чный	decent
содержа́ться	contain
обзо́р	(over)view
прете́нзия	claim
руба́шка	shirt
корреспонде́нт	correspondent
за́втрак	breakfast
италья́нский	Italian
нападе́ние	attack
бар	bar
тоска́	melancholy, boredom
пе́нсия	pension
тури́ст	tourist
предъявля́ть	bring, show
мо́да	fashion
обижа́ться	be offended
восстановле́ние	recovery
